Household,Travel Cot,"Pop up travel cot with carry bag. Assembled size H76, L99, W57cm. Suitable from birth to 3 years, for babies up to 15kg.",,,My house,mariaf
Outdoors,Hiking poles,Pair of lightweight hiking poles,Please clean tips after use,,My house,amyr
Outdoors,Tennis Ball,Tennis ball,Return in one piece,,My house,sarahs
Outdoors,Marquee,Heavy duty pop up gazebo with storage bag. Assembled dimensions 6m x 3m.,,,My house,stephf
Outdoors,Sledge,Sledge with brakes and seats for two adults and one child,,,My house,gabbyv
Outdoors,Camping Picnic Table Set,"Seats 6. Includes table, two benches and two stools. Folds flat and comes with carry bag. Table: 120cm x 90cm x 37/70cm.",Must be cleaned prior to return,,My house,martinay
Skills,Code Guru,15 minute slots available for emergency coding advice,,,Google Hangouts,martinay
Skills,Vertical Fitness Tuition,30 minute vertical fitness tuition slots,Wear comfortable clothing,,My house,gabbyv
Hobbies,Six Man Tent,Six berth inflatable tent with living area and three bedroom sections.,Must be cleaned prior to return,,My house,sandyf
Hobbies,Rubber plant,A beautiful rubber plant,Must be kept in a bright place and watered if needed,,My house,amyr
Hobbies,Mountain Bike,"Unisex mountain bike, weighs 2kg, suitable for rider height between 1.65m and 1.74m",,,My house,amritab
People_Pets,Cat (elderly),Very old cat ,Preferably return alive,,My house,linzic
People_Pets,Dog,Jack Russell,Return well,,My house,sarahs
People_Pets,Performing Rabbits,"Mountain and Moment - two very cute, housetrained rabbits, which will walk on their hind legs in return for treats",Please do not feed the rabbits anything other than the food/treats provided by the owner.,,My house,bessm
Tools,Sewing machine,Janome basic digital,,/uploadsPics/Items/ID_1/sewingmachine.jpg,My house,linzic
Tools,Pressure Washer,"High performance pressure washer, ideal for cleaning patios, decking, cars, bicycles, garden furniture, walls, garage doors and wood fencing.",,,My house,alexb
Tools,Cordless Hedgetrimmer,"Lightweight and powerful, ideal for medium to large hedges. Weighs 3.6kg.",,,My house,lilya
Tools,Ladders,"Telescopic, multi purpose, combination step ladder system.  4x4 rungs. Max open height step ladder 1.8m.  Max open height extension ladder 3.7m.",,,My house,clairew
